lab_id,international_id,sex,bio_sample,population,region,continent,species,avg_coverage,owner
156,AANUSAM000011300151,M,,angus,british isles,europe,bos taurus,19.666206896551724,
169,AANUSAM000012396224,M,,angus,british isles,europe,bos taurus,20.08103448275862,
186,AANUSAM000011750711,M,,angus,british isles,europe,bos taurus,32.86827586206896,
191,AANUSAM000013058662,M,,angus,british isles,europe,bos taurus,21.231379310344828,
196,AANUSAM000013588640,M,,angus,british isles,europe,bos taurus,16.891379310344828,
216,AANUSAM000011319785,M,,angus,british isles,europe,bos taurus,18.056896551724137,
218,AANUSAM000012048084,M,,angus,british isles,europe,bos taurus,17.43448275862069,
219,AANUSAM000011356596,M,,angus,british isles,europe,bos taurus,17.646206896551725,
261,AANUSAM000006810901,M,,angus,british isles,europe,bos taurus,32.78448275862069,
263,AANUSAM000010132935,M,,angus,british isles,europe,bos taurus,16.6,
294,AANUSAM000009958634,M,,angus,british isles,europe,bos taurus,31.442758620689656,
342,AANUSAM000012309326,M,,angus,british isles,europe,bos taurus,15.66448275862069,
399,AANUSAM000011935889,M,,angus,british isles,europe,bos taurus,10.53551724137931,
407,AANUSAM000012310707,M,,angus,british isles,europe,bos taurus,14.779310344827586,
444,AANUSAM000013898124,M,,angus,british isles,europe,bos taurus,20.586206896551726,
447,AANUSAM000012240991,M,,angus,british isles,europe,bos taurus,22.666206896551724,
450,AANUSAM000011901155,M,,angus,british isles,europe,bos taurus,6.01,
453,AANUSAM000008974207,M,,angus,british isles,europe,bos taurus,28.61241379310345,
455,AANUSAM000012783540,M,,angus,british isles,europe,bos taurus,26.818620689655173,
457,AANUSAM000013544928,M,,angus,british isles,europe,bos taurus,20.88206896551724,
458,AANUSAM000011994601,M,,angus,british isles,europe,bos taurus,15.650689655172414,
485,AANUSAM000011105489,M,,angus,british isles,europe,bos taurus,23.29551724137931,
488,AANUSAM000012530601,M,,angus,british isles,europe,bos taurus,13.062068965517241,
492,AANUSAM000010239760,M,,angus,british isles,europe,bos taurus,21.61241379310345,
540,AANUSAM000011451070,M,,angus,british isles,europe,bos taurus,6.771034482758621,
544,AANUSAM000012223258,M,,angus,british isles,europe,bos taurus,23.364827586206896,
619,AANUSAM000012398105,M,,angus,british isles,europe,bos taurus,9.138275862068966,
621,AANUSAM000010361487,M,,angus,british isles,europe,bos taurus,4.705172413793103,
626,AANUSAM000011418151,M,,angus,british isles,europe,bos taurus,16.86758620689655,
674,AANUSAM000011788302,M,,angus,british isles,europe,bos taurus,21.166551724137932,
684,AANUSAM000012548568,M,,angus,british isles,europe,bos taurus,18.11758620689655,
686,AANUSAM000013084963,M,,angus,british isles,europe,bos taurus,20.062758620689657,
701,AANUSAM000012452829,M,,angus,british isles,europe,bos taurus,20.567241379310346,
711,AANUSAM000009894245,M,,angus,british isles,europe,bos taurus,24.370344827586205,
712,AANUSAM000010226429,M,,angus,british isles,europe,bos taurus,21.27,
720,AANUSAM000013009379,M,,angus,british isles,europe,bos taurus,20.871724137931036,
723,AANUSAM000013395329,M,,angus,british isles,europe,bos taurus,19.09103448275862,
728,AANUSAM000013395344,M,,angus,british isles,europe,bos taurus,12.914827586206897,
747,AANUSAM000013609950,M,,angus,british isles,europe,bos taurus,7.473103448275862,
751,AANUSAM000009891499,M,,angus,british isles,europe,bos taurus,26.927931034482757,
771,AANUSAM000013977765,M,,angus,british isles,europe,bos taurus,6.903103448275862,
779,AANUSAM000011520398,M,,angus,british isles,europe,bos taurus,26.815172413793103,
787,AANUSAM000012618076,M,,angus,british isles,europe,bos taurus,21.84103448275862,
794,AANUSAM000010858958,M,,angus,british isles,europe,bos taurus,19.894137931034482,
811,AANUSAM000011104267,M,,angus,british isles,europe,bos taurus,18.854137931034483,
812,AANUSAM000012493607,M,,angus,british isles,europe,bos taurus,25.334827586206895,
816,AANUSAM000009250717,M,,angus,british isles,europe,bos taurus,28.143103448275863,
820,AANUSAM000012346200,M,,angus,british isles,europe,bos taurus,23.772758620689654,
828,AANUSAM000012309327,M,,angus,british isles,europe,bos taurus,18.80206896551724,
837,AANUSAM000013447282,M,,angus,british isles,europe,bos taurus,22.347241379310343,
840,AANUSAM000013062750,M,,angus,british isles,europe,bos taurus,16.417241379310344,
845,AANUSAM000013286246,M,,angus,british isles,europe,bos taurus,6.287931034482758,
851,AANUSAM000011160685,M,,angus,british isles,europe,bos taurus,21.003103448275862,
859,AANUSAM000013207590,M,,angus,british isles,europe,bos taurus,27.415862068965517,
882,AANUSAM000013776378,M,,angus,british isles,europe,bos taurus,18.45241379310345,
883,AANUSAM000013936986,M,,angus,british isles,europe,bos taurus,5.540344827586207,
898,HOLUSAM000001841366,M,SAMN02671479,holstein,continental europe,europe,bos taurus,8.35551724137931,Department of Environment and Primary Industries
909,HOLUSAM000001964484,M,SAMN02671480,holstein,continental europe,europe,bos taurus,6.798275862068966,Department of Environment and Primary Industries
986,HOLUSAM000002026215,M,,holstein,continental europe,europe,bos taurus,4.1337931034482756,
1051,HOLUSAM000002040728,M,,holstein,continental europe,europe,bos taurus,4.228620689655172,
1131,HOLUSAM000002070579,M,SAMN02671595,holstein,continental europe,europe,bos taurus,19.43758620689655,Department of Environment and Primary Industries
1180,HOLUSAM000002103297,M,SAMN02671483,holstein,continental europe,europe,bos taurus,10.16655172413793,Department of Environment and Primary Industries
1343,HOLUSAM000002265005,M,HOUSA000002265005,holstein,continental europe,europe,bos taurus,10.50551724137931,
1389,HOLUSAM000002290977,M,,holstein,continental europe,europe,bos taurus,2.6262068965517242,
1510,HOLUSAM000017056520,M,,holstein,continental europe,europe,bos taurus,4.290344827586207,
1703,AANUSAM000007147857,M,,angus,british isles,europe,bos taurus,7.269310344827586,
1704,AANUSAM000008505294,M,,angus,british isles,europe,bos taurus,19.87551724137931,
1705,AANUSAM000008593101,M,,angus,british isles,europe,bos taurus,22.319310344827585,
1706,AANUSAM000008890783,M,,angus,british isles,europe,bos taurus,22.18448275862069,
1707,AANUSAM000008989216,M,,angus,british isles,europe,bos taurus,21.77310344827586,
1712,AANUSAM000010373602,M,,angus,british isles,europe,bos taurus,16.137931034482758,
1713,AANUSAM000010398616,M,SAMN02142984,angus,british isles,europe,bos taurus,6.328275862068965,"Livestock Gentec, University of Alberta"
1717,AANUSAM000010776479,M,,angus,british isles,europe,bos taurus,15.027241379310345,
1720,AANUSAM000010848986,M,,angus,british isles,europe,bos taurus,20.228275862068966,
1776,AANUSAM000012798179,M,,angus,british isles,europe,bos taurus,18.783793103448275,
1918,BRMUSAM00000B293259,M,,brahman,americas,americas,bos indicus,5.60448275862069,
1921,BRMUSAM00000B303920,M,,brahman,americas,americas,bos indicus,0.476551724137931,
1923,BRMUSAM00000B358568,M,,brahman,americas,americas,bos indicus,4.321034482758621,
1926,BRMUSAM00000B669804,M,,brahman,americas,americas,bos indicus,0.4282758620689655,
1957,AANUSAM000010586502,M,10586502,angus,british isles,europe,bos taurus,5.682068965517241,
1965,AANUSAM000007011424,M,,angus,british isles,europe,bos taurus,20.26448275862069,
1998,AANUSAM000009083399,M,,angus,british isles,europe,bos taurus,16.262758620689656,
2014,AANUSAM000006064368,M,,angus,british isles,europe,bos taurus,15.543103448275861,
2044,AANUSAM000013592905,M,,angus,british isles,europe,bos taurus,22.853793103448275,
2045,AANUSAM000013512009,M,,angus,british isles,europe,bos taurus,17.42896551724138,
2048,AANUSAM000013305978,M,,angus,british isles,europe,bos taurus,20.326206896551724,
2056,AANUSAM000011567326,M,,angus,british isles,europe,bos taurus,24.31,
2081,HOLUSAM000001667366,M,,holstein,continental europe,europe,bos taurus,5.674827586206897,
2089,HOLUSAM000001810969,M,,holstein,continental europe,europe,bos taurus,3.8286206896551724,
2111,HOLCANM000000363162,M,SAMN02671454,holstein,continental europe,europe,bos taurus,9.76344827586207,Department of Environment and Primary Industries
2112,HOLUSAM000001983348,M,SAMN02671481,holstein,continental europe,europe,bos taurus,7.682068965517241,Department of Environment and Primary Industries
2133,HOLUSAM000002147486,M,,holstein,continental europe,europe,bos taurus,2.053793103448276,
2160,HOLFRAM002991000305,M,SAMN02671589,holstein,continental europe,europe,bos taurus,35.311379310344826,Department of Environment and Primary Industries
2162,HOLNLDM000839380546,M,SAMN02671676,holstein,continental europe,europe,bos taurus,8.182068965517242,Department of Environment and Primary Industries
2164,HOLCANM000000352790,M,SAMN02671584,holstein,continental europe,europe,bos taurus,40.13758620689655,Department of Environment and Primary Industries
2170,AANUSAM000011160688,M,,angus,british isles,europe,bos taurus,7.089655172413793,
2378,AANUSAM000002677295,M,SAMN02142987,angus,british isles,europe,bos taurus,6.765862068965517,"Livestock Gentec, University of Alberta"
2396,AANUSAM000005221298,M,,angus,british isles,europe,bos taurus,22.57103448275862,
2406,UMCUSAM000000002406,M,,american bison,americas,americas,bison bison,23.767931034482757,
2991,BRMUSAM00000B669048,M,,brahman,americas,americas,bos indicus,2.7727586206896553,
3002,BRMUSAM00000B747400,M,,brahman,americas,americas,bos indicus,0.9393103448275862,
3009,BRMUSAM00000B743695,M,,brahman,americas,americas,bos indicus,5.455517241379311,
3014,BRMUSAM00000B378475,M,,brahman,americas,americas,bos indicus,7.103103448275862,
3037,BRMUSAM00000B694590,M,,brahman,americas,americas,bos indicus,5.6499999999999995,
3048,AANUSAM000009506886,M,,angus,british isles,europe,bos taurus,21.717241379310344,
3076,AANUSAM000013320150,M,,angus,british isles,europe,bos taurus,5.489655172413793,
3104,AANUSAM000009682589,M,,angus,british isles,europe,bos taurus,18.83206896551724,
3202,UMCUSAM000000003202,M,,angus,british isles,europe,bos taurus,0.4437931034482759,
4425,AANUSAM000007187001,M,,angus,british isles,europe,bos taurus,22.925172413793103,
4502,HOLCANM000000343514,M,SAMN02671583,holstein,continental europe,europe,bos taurus,17.43,Department of Environment and Primary Industries
4517,AANUSAM000012665222,M,,angus,british isles,europe,bos taurus,17.145862068965517,
4522,AANUSAM000010095639,M,,angus,british isles,europe,bos taurus,22.541724137931034,
4609,AANUSAM000004285114,M,,angus,british isles,europe,bos taurus,31.532758620689656,
4631,AANUSAM000009690653,M,,angus,british isles,europe,bos taurus,22.756206896551724,
6606,HOLUSAM000002041271,M,,holstein,continental europe,europe,bos taurus,1.3820689655172413,
7092,AANUSAM000002719761,M,SAMN02142983,angus,british isles,europe,bos taurus,6.151724137931034,"Livestock Gentec, University of Alberta"
7142,AANUSAM000011563543,M,,angus,british isles,europe,bos taurus,4.96103448275862,
7380,LIMUSAM000000CFM179,M,,limousin,france,europe,bos taurus,5.989310344827587,
7397,LIMUSAM000NPM802417,M,,limousin,france,europe,bos taurus,4.5617241379310345,
7414,LIMUSAM00NPM1718188,M,,limousin,france,europe,bos taurus,4.437241379310345,
7427,LIMUSAM00NPM1458543,M,,limousin,france,europe,bos taurus,5.437586206896552,
7432,LIMUSAM00NPM1389672,M,,limousin,france,europe,bos taurus,0.3641379310344828,
7436,LIMUSAM000000CIM918,M,,limousin,france,europe,bos taurus,6.520344827586207,
7440,LIMUSAM000NPM729432,M,,limousin,france,europe,bos taurus,8.635172413793104,
7442,LIMUSAM000000CIM895,M,,limousin,france,europe,bos taurus,0.6520689655172414,
7445,AANUSAM000014056739,M,,angus,british isles,europe,bos taurus,26.029655172413793,
7713,LIMUSAM00NPM1398573,M,,limousin,france,europe,bos taurus,8.602413793103448,
7744,LIMUSAM00NFM1022080,M,,limousin,france,europe,bos taurus,0.1396551724137931,
8853,HERUSAM000023495300,M,23495300,hereford,british isles,europe,bos taurus,5.268965517241379,
18336,LIMUSAM0000000CIM51,M,,limousin,france,europe,bos taurus,21.69896551724138,
18346,LIMUSAM00000000NIM3,M,,limousin,france,europe,bos taurus,19.938965517241378,
18366,SIMUSAM000001308819,M,SAMN02941222,simmental,continental europe,europe,bos taurus,11.259310344827586,"Livestock Gentec, University of Alberta"
18369,SIMUSAM000001600900,M,SAMN02941190,simmental,continental europe,europe,bos taurus,10.776206896551724,"Livestock Gentec, University of Alberta"
18395,HOLUSAM000002030882,M,,holstein,continental europe,europe,bos taurus,2.3496551724137933,
18490,HOLUSAM000002284985,M,,holstein,continental europe,europe,bos taurus,5.304827586206897,
18660,HOLUSAM000002297473,M,HOUSA000002297473,holstein,continental europe,europe,bos taurus,10.501379310344827,
19225,HOLUSAM000120754720,M,,holstein,continental europe,europe,bos taurus,2.506206896551724,
20076,UMCUSAM000000020076,F,8007,american bison,americas,americas,bison bison,24.565172413793103,
20079,UMCUSAM000000020079,F,,american bison,americas,americas,bison bison,24.995172413793103,
20087,UMCUSAM000000020087,M,,american bison,americas,americas,bison bison,23.08310344827586,
20098,UMCUSAM000000020098,F,,american bison,americas,americas,bison bison,24.612068965517242,
20136,UMCUSAM000000020136,F,8119,american bison,americas,americas,bison bison,18.586206896551722,
20172,UMCUSAM000000020172,M,,american bison,americas,americas,bison bison,25.185862068965516,
20809,CHAUSAM00000M246564,M,,charolais,france,europe,bos taurus,21.035172413793102,
20823,CHAUSAM00000M411450,M,,charolais,france,europe,bos taurus,20.415172413793105,
20825,CHAUSAM00000M234430,M,,charolais,france,europe,bos taurus,19.517241379310345,
20826,CHAUSAM00000M319454,M,,charolais,france,europe,bos taurus,20.071724137931035,
20829,CHAUSAM00000M318119,M,,charolais,france,europe,bos taurus,15.24551724137931,
20830,HERUSAM000019587707,M,,hereford,british isles,europe,bos taurus,25.093793103448277,
20843,HERUSAM000018950672,M,,hereford,british isles,europe,bos taurus,18.74448275862069,
20867,SIMUSAM000001425514,M,,simmental,continental europe,europe,bos taurus,17.525172413793104,
20872,SIMUSAM000001716917,M,SAMN02941191,simmental,continental europe,europe,bos taurus,12.137931034482758,"Livestock Gentec, University of Alberta"
20878,SIMUSAM000001884316,M,SAMN02941194,simmental,continental europe,europe,bos taurus,11.834827586206897,"Livestock Gentec, University of Alberta"
20894,SIMUSAM000002081939,M,SAMN02941199,simmental,continental europe,europe,bos taurus,12.53551724137931,"Livestock Gentec, University of Alberta"
20912,CHAUSAM00000M297007,M,,charolais,france,europe,bos taurus,17.64,
22163,HOLNLDM000159659261,M,SAMN02671486,holstein,continental europe,europe,bos taurus,9.350344827586207,Department of Environment and Primary Industries
22168,HOLUSAM000001537060,M,,holstein,continental europe,europe,bos taurus,3.3482758620689657,
22184,HOLUSAM000002005253,M,SAMN02671594,holstein,continental europe,europe,bos taurus,15.738965517241379,Department of Environment and Primary Industries
22908,HOLDEUM000341037501,M,,holstein,continental europe,europe,bos taurus,1.576551724137931,
23048,HOLUSAM000002266677,M,,holstein,continental europe,europe,bos taurus,16.38344827586207,
23200,HOLUSAM000017349617,M,,holstein,continental europe,europe,bos taurus,21.338620689655173,
23732,HOLUSAM000129800008,M,SAMN02671485,holstein,continental europe,europe,bos taurus,7.642758620689655,Department of Environment and Primary Industries
27164,HOLUSAM000001244845,M,,holstein,continental europe,europe,bos taurus,2.1124137931034483,
27422,BSHUSAM000003411494,M,,shorthorn,british isles,europe,bos taurus,22.833448275862068,
32028,AANUSAM000013880818,M,,angus,british isles,europe,bos taurus,9.941724137931034,
32065,AANUSAM000013739532,M,,angus,british isles,europe,bos taurus,25.617241379310347,
32103,AANUSAM000014844711,M,,angus,british isles,europe,bos taurus,21.656206896551723,
32107,AANUSAM000013728513,M,,angus,british isles,europe,bos taurus,20.592758620689654,
32134,AANUSAM000015148659,M,,angus,british isles,europe,bos taurus,5.933793103448276,
32138,AANUSAM000014691231,M,,angus,british isles,europe,bos taurus,18.87206896551724,
32142,AANUSAM000014725035,M,,angus,british isles,europe,bos taurus,14.847586206896551,
32157,AANUSAM000014739204,M,,angus,british isles,europe,bos taurus,37.776896551724136,
32159,AANUSAM000014963730,M,,angus,british isles,europe,bos taurus,17.240344827586206,
32817,SIMUSAM000001818026,M,SAMN02941193,simmental,continental europe,europe,bos taurus,10.160689655172414,"Livestock Gentec, University of Alberta"
33078,BSHUSAM000003309122,M,,shorthorn,british isles,europe,bos taurus,14.243793103448276,
33533,UMCUSAM000000033533,M,,gir,india and pakistan,asia,bos indicus,3.699655172413793,
33534,UMCUSAF000000033534,F,,gir,india and pakistan,asia,bos indicus,7.21103448275862,
33537,UMCUSAM000000033537,M,,gir,india and pakistan,asia,bos indicus,10.736206896551725,
33538,UMCUSAU000000033538,,,gir,india and pakistan,asia,bos indicus,2.7079310344827587,
33539,UMCUSAF000000033539,F,,gir,india and pakistan,asia,bos indicus,9.802758620689655,
33540,UMCUSAM000000033540,M,,gir,india and pakistan,asia,bos indicus,5.264827586206897,
33604,HERUSAF000042190680,F,,hereford,british isles,europe,bos taurus,47.029310344827586,
