lab_id	international_id	avg_coverage	BC	Common_name	BioSample	SampleName
156	AANUSAM000011300151	18.77774	AN	Angus		
169	AANUSAM000012396224	19.18452	AN	Angus		
186	AANUSAM000011750711	31.44613	AN	Angus		
191	AANUSAM000013058662	20.22065	AN	Angus		
196	AANUSAM000013588640	16.13419	AN	Angus		
216	AANUSAM000011319785	17.25032	AN	Angus		
218	AANUSAM000012048084	16.66742	AN	Angus		
219	AANUSAM000011356596	16.87516	AN	Angus		
261	AANUSAM000006810901	31.31065	AN	Angus		
263	AANUSAM000010132935	15.84677	AN	Angus		
294	AANUSAM000009958634	30.02774	AN	Angus		
342	AANUSAM000012309326	14.93806	AN	Angus		
399	AANUSAM000011935889	10.0571	AN	Angus		
407	AANUSAM000012310707	14.10258	AN	Angus		
444	AANUSAM000013898124	19.66613	AN	Angus		
447	AANUSAM000012240991	21.61613	AN	Angus		
450	AANUSAM000011901155	5.736452	AN	Angus		
453	AANUSAM000008974207	27.31871	AN	Angus		
455	AANUSAM000012783540	25.62	AN	Angus		
457	AANUSAM000013544928	19.94452	AN	Angus		
458	AANUSAM000011994601	14.94387	AN	Angus		
485	AANUSAM000011105489	22.23097	AN	Angus		
488	AANUSAM000012530601	12.50129	AN	Angus		
492	AANUSAM000010239760	20.67258	AN	Angus		
540	AANUSAM000011451070	6.478065	AN	Angus		
544	AANUSAM000012223258	22.32903	AN	Angus		
619	AANUSAM000012398105	8.733226	AN	Angus		
621	AANUSAM000010361487	4.492903	AN	Angus		
626	AANUSAM000011418151	16.12065	AN	Angus		
674	AANUSAM000011788302	20.21968	AN	Angus		
684	AANUSAM000012548568	17.30774	AN	Angus		
686	AANUSAM000013084963	19.16581	AN	Angus		
701	AANUSAM000012452829	19.63742	AN	Angus		
711	AANUSAM000009894245	23.29032	AN	Angus		
712	AANUSAM000010226429	20.32323	AN	Angus		
720	AANUSAM000013009379	19.93419	AN	Angus		
723	AANUSAM000013395329	18.23258	AN	Angus		
728	AANUSAM000013395344	12.34742	AN	Angus		
747	AANUSAM000013609950	7.143548	AN	Angus		
751	AANUSAM000009891499	25.72065	AN	Angus		
771	AANUSAM000013977765	6.591613	AN	Angus		
779	AANUSAM000011520398	25.61387	AN	Angus		
787	AANUSAM000012618076	20.8171	AN	Angus		
794	AANUSAM000010858958	18.93871	AN	Angus		
811	AANUSAM000011104267	18.08226	AN	Angus		
