# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       23.930    33359.438
       2.039      226.800      439.973    34647.301
       4.075        6.900      442.988    34647.320
       6.101      227.100     1140.844    35108.074
       8.131      319.200     1218.477    35108.074
      10.169      393.500     2275.168    35108.074
      12.212      689.900     4355.742    35108.074
      14.250      661.000     8397.695    35108.074
      16.284      678.900     8416.371    35108.074
      18.317      615.200    10248.527    35108.074
      20.355      599.300    10248.602    35108.074
      22.391      598.100    10276.602    35108.074
      24.429      597.200    10270.609    35108.074
      26.467      598.200    10266.805    35108.074
      28.506      598.600    10262.297    35108.074
      30.545      599.400    10198.320    35108.074
      32.583      597.200    10135.203    35108.074
      34.621      598.200    10077.590    35108.074
      36.657      603.100    10021.020    35108.074
      38.695      606.600     9968.516    35108.074
      40.732      596.200     9916.918    35108.074
      42.770      615.300     9876.145    35108.074
      44.808      593.800     9812.020    35108.074
      46.849      596.400     9755.910    35108.074
      48.884      596.600     9712.828    35108.074
      50.919      595.300     9674.285    35108.074
      52.956      594.600     9636.211    35108.074
      54.994      594.300     9604.641    35108.074
      57.031      595.300     9579.090    35108.074
      59.067      594.800     9561.555    35108.074
      61.106      597.100     9554.543    35108.074
      63.144      596.600     9540.512    35108.074
      65.183      595.400     9528.984    35108.074
      67.221      596.000     9511.461    35108.074
      69.262      596.000     9501.457    35108.074
      71.298      597.600     9493.945    35108.074
      73.336      600.200     9484.031    35108.074
      75.374      593.700     9476.012    35108.074
      77.410      595.800     9470.496    35108.074
      79.446      594.100     9458.504    35108.074
      81.482      595.700     9460.496    35108.074
      83.523      597.700     9455.484    35108.074
      85.561      596.700     9448.469    35108.074
      87.597      595.300     9442.453    35108.074
      89.634      595.200     9435.434    35108.074
      91.672      591.200     9440.922    35108.074
      93.710      595.100     9440.016    35108.074
      95.745      597.000     9436.516    35108.074
      97.783      598.200     9442.637    35108.074
      99.818      596.500     9450.121    35108.074
     101.855      597.900     9452.109    35108.074
     103.893      596.800     9449.594    35108.074
     105.932      592.300     9449.078    35108.074
     107.971      596.100     9449.062    35108.074
     110.001      595.400     9451.051    35108.074
     112.037      596.700     9452.043    35108.074
     114.075      595.200     9449.523    35108.074
     116.110      596.200     9455.016    35108.074
     118.147      595.400     9453.508    35108.074
     120.186      597.000     9455.000    35108.074
     122.222      595.200     9452.980    35108.074
     124.259      596.200     9456.461    35108.074
     126.298      595.800     9458.453    35108.074
     128.335      595.500     9464.949    35108.074
     130.373      595.200     9477.461    35108.074
     132.409      593.800     9971.387    35108.074
     134.447      595.200    10003.562    35108.074
     136.485      598.300    10005.648    35108.074
     138.522      596.700    10011.633    35108.074
     140.560      597.200    10007.625    35108.074
     142.597      596.100    10008.113    35108.074
     144.634      596.700    10009.102    35108.074
     146.672      597.200    10008.590    35108.074
     148.710      594.800    10008.070    35108.074
     150.746      597.200    10007.559    35108.074
     152.785      594.400    10008.551    35108.074
     154.822      593.600    10014.035    35108.074
     156.860      595.200    10016.527    35108.074
     158.896      598.200    10020.527    35108.074
     160.934      596.700    10019.016    35108.074
     162.972      596.700    10019.516    35108.074
     165.010      593.700    10020.508    35108.074
     167.044      596.400    10021.496    35108.074
     169.083      593.400    10037.480    35108.074
     171.127      596.800    10034.465    35108.074
     173.165      596.100    10032.996    35108.074
     175.198      596.700    10036.969    35108.074
     177.227      596.100    10034.941    35108.074
     179.248      596.200    10033.918    35108.074
     181.284      595.900    10033.395    35108.074
     183.305      593.100    10046.879    35108.074
     185.341      597.200    10045.867    35108.074
     187.372      597.900    10045.879    35108.074
     189.394      597.000    10046.367    35108.074
     191.432      596.100    10045.848    35108.074
     193.470      594.800    10051.840    35108.074
     195.505      593.000    10050.816    35108.074
     197.544      595.900    10055.305    35108.074
     199.580      594.700    10066.789    35108.074
     201.614      596.500    10063.270    35108.074
     203.652      596.500    10062.289    35108.074
     205.691      594.600    10062.262    35108.074
     207.731      595.400    10061.277    35108.074
     209.770      594.600    10063.258    35108.074
     211.808      595.100    10072.254    35108.074
     213.846      601.000    10079.770    35108.074
     215.873      596.600    10088.754    35108.074
     217.911      597.000    10096.746    35108.074
     219.949      595.600    10091.211    35108.074
     221.988      596.500    10092.180    35108.074
     224.026      595.100    10091.641    35108.074
     226.065      593.000    10091.641    35108.074
     228.099      597.000    10088.625    35108.074
     230.138      594.500    10089.102    35108.074
     232.175      594.300    10089.082    35108.074
     234.215      595.300    10090.066    35108.074
     236.252      596.200    10097.059    35108.074
     238.290      595.300    10100.051    35108.074
     240.330      596.200    10097.605    35108.074
     242.368      596.600    10101.598    35108.074
     244.404      596.600    10105.590    35108.074
     246.438      596.600    10104.574    35108.074
     248.475      596.800    10105.566    35108.074
     250.513      593.300    10106.547    35108.074
     252.551      595.200    10104.527    35108.074
     254.589      596.200    10103.020    35108.074
     256.625      593.800    10107.516    35108.074
     258.663      596.000    10106.504    35108.074
     260.699      596.300    10103.492    35108.074
     262.735      597.800    10100.977    35108.074
     264.773      597.300    10103.527    35108.074
     266.812      595.800    10097.512    35108.074
     268.849      597.000    10099.500    35108.074
     270.887      593.300    10107.516    35108.074
     272.921      595.100    10103.496    35108.074
     274.956      599.100    10098.484    35108.074
     276.994      597.100    10095.465    35108.074
     279.032      597.700    10085.945    35108.074
     281.070      597.200    10076.926    35108.074
     283.108      596.700    10074.910    35108.074
     285.146      593.200    10066.895    35108.074
     287.182      595.700    10054.871    35108.074
     289.220      596.200    10048.859    35108.074
     291.257      595.400    10038.840    35108.074
     293.295      595.800    10039.336    35108.074
     295.333      596.300    10030.316    35108.074
     297.367      594.300    10037.426    35108.074
     299.405      596.100    10035.414    35108.074
     301.443      597.200    10028.898    35108.074
     303.481      597.200    10022.387    35108.074
     305.519      595.700    10010.367    35108.074
     307.555      595.600    10006.855    35108.074
     309.597      595.200     9997.340    35108.074
     311.635      595.600     9995.832    35108.074
     313.673      595.500     9986.312    35108.074
     315.709      593.800     9982.805    35108.074
     317.746      596.100     9978.289    35108.074
     319.784      592.700     9979.277    35108.074
     321.819      597.000     9976.766    35108.074
     323.855      597.700     9968.809    35108.074
     325.891      597.200     9961.797    35108.074
     327.927      597.400     9956.809    35108.074
     329.965      596.500     9945.793    35108.074
     332.001      595.400     9938.273    35108.074
     334.037      595.200     9937.766    35108.074
     336.072      596.200     9933.750    35108.074
     338.107      597.600     9933.750    35108.074
     340.144      596.700     9934.738    35108.074
     342.183      597.500     9927.230    35108.074
     344.219      594.200     9915.832    35108.074
     346.261      593.700     9910.320    35108.074
     348.299      595.700     9906.309    35108.074
     350.337      594.100     9900.789    35108.074
     352.375      595.500     9903.785    35108.074
     354.413      598.200     9903.781    35108.074
     356.450      596.900     9896.289    35108.074
     358.488      596.200     9888.273    35108.074
     360.524      596.800     9882.262    35108.074
     362.562      596.700     9876.250    35108.074
     364.598      596.300     9865.230    35108.074
     366.634      597.300     9862.219    35108.074
     368.673      595.400     9858.203    35108.074
     370.711      594.200     9851.184    35108.074
     372.748      595.600     9840.668    35108.074
     374.786      596.200     9838.160    35108.074
     376.824      590.200     9829.645    35108.074
     378.860      595.300     9830.633    35108.074
     380.898      597.600     9825.125    35108.074
     382.936      598.100     9819.613    35108.074
     384.974      595.700     9815.098    35108.074
     387.010      591.900     9818.723    35108.074
     389.042      600.900     9814.211    35108.074
     391.074      599.300     9806.195    35108.074
     393.107      598.900     9799.184    35108.074
     395.134      595.300     9787.660    35108.074
     397.166      594.400     9787.152    35108.074
     399.199      595.900     9792.641    35108.074
     401.232      598.600     9789.137    35108.074
     403.262      597.500     9778.613    35108.074
     405.294      583.700     9773.641    35108.074
     407.339      597.400     9770.621    35108.074
     409.372      602.200     9757.098    35108.074
     411.404      594.800     9742.070    35108.074
     413.437      594.600     9732.055    35108.074
     415.470      596.900     9727.543    35108.074
     417.502      594.200     9716.520    35108.074
     419.535      596.400     9711.012    35108.074
     421.567      595.300     9701.492    35108.074
     423.599      593.100     9716.484    35108.074
     425.631      595.900     9710.473    35108.074
     427.663      598.300     9704.965    35108.074
     429.698      597.300     9699.453    35108.074
     431.729      596.500     9695.941    35108.074
     433.762      597.900     9693.434    35108.074
     435.797      593.800     9684.422    35108.074
     437.842      593.900     9686.414    35108.074
     439.875      595.700     9672.387    35108.074
     441.907      595.400     9659.363    35108.074
     443.940      594.600     9656.855    35108.074
     445.972      597.900     9649.840    35108.074
     448.005      597.300     9643.328    35108.074
     450.039      595.800     9631.305    35108.074
     452.071      594.400     9628.297    35108.074
     454.104      594.700     9618.781    35108.074
     456.137      573.100     9616.285    35108.074
     458.171      597.400     9615.277    35108.074
     460.203      596.900     9613.762    35108.074
     462.235      596.300     9608.246    35108.074
     464.267      596.400     9596.727    35108.074
     466.300      594.400     9585.199    35108.074
     468.332      594.800     9570.172    35108.074
     470.364      595.900     9561.156    35108.074
     472.397      593.400     9550.141    35108.074
     474.429      595.500     9540.121    35108.074
     476.461      595.000     9537.613    35108.074
     478.494      597.000     9532.098    35108.074
     480.543      584.200     9536.090    35108.074
     482.581      597.700     9540.082    35108.074
     484.619      596.100     9522.551    35108.074
     486.657      600.100     9510.043    35108.074
     488.696      596.600     9495.016    35108.074
     490.734      596.500     9484.492    35108.074
     492.770      596.500     9471.469    35108.074
     494.810      593.400     9457.441    35108.074
     496.848      583.000     9462.445    35108.074
     498.886      596.200     9455.430    35108.074
     500.924      594.700     9442.406    35108.074
     502.961      596.700     9435.391    35108.074
     504.997      594.300     9437.379    35108.074
     507.039      594.800     9426.359    35108.074
     509.070      596.500     9421.348    35108.074
     511.108      595.800     9416.340    35108.074
     513.146      595.000     9416.836    35108.074
     515.184      594.800     9407.816    35108.074
     517.223      596.000     9411.312    35108.074
     519.258      595.900     9407.301    35108.074
     521.296      596.600     9402.289    35108.074
     523.334      596.300     9396.777    35108.074
     525.372      595.800     9391.266    35108.074
     527.411      595.800     9388.758    35108.074
     529.449      595.200     9378.238    35108.074
     531.487      595.200     9374.227    35108.074
     533.524      593.000     9380.215    35108.074
     535.564      598.100     9384.469    35108.074
     537.600      597.300     9379.203    35108.074
     539.635      597.000     9374.195    35108.074
     541.671      596.200     9362.711    35108.074
     543.707      596.800     9351.688    35108.074
     545.746      597.000     9341.668    35108.074
     547.784      595.700     9330.152    35108.074
     549.824      595.900     9325.137    35108.074
     551.862      596.100     9313.613    35108.074
     553.899      594.100     9301.090    35108.074
     555.936      595.200     9300.582    35108.074
     557.974      595.500     9297.070    35108.074
     560.014      596.200     9296.066    35108.074
     562.053      595.600     9288.047    35108.074
     564.091      594.800     9291.035    35108.074
     566.129      595.300     9280.020    35108.074
     568.167      595.100     9273.508    35108.074
